title,date
"Kuomintang chairmanship election, 2005",2005-07-16
"Bellator Fighting Championships: Season Two  Bellator 16  1",2010-04-29
"Ruleta de la Muerte (1999)",1999-07-18
"Polish legislative election, 1928",1928-03-11
"2013 Dingxi earthquakes",2013-07-22
"United States House of Representatives elections in Arizona, 2016",2016-11-08
"Atlantique incident",1999-08-10
"Leicestershire County Council election, 2013",2013-05-02
"Lari massacre",1953-03-26
"Greek legislative election, 1958",1958-05-11
"2000 Football League Cup Final",2000-02-27
"1930 Irpinia earthquake",1930-07-03
"Albuquerque mayoral election, 2013",2013-10-08
"Parti Québécois leadership election, 2015",2015-05-15
"Belgian general election, 1898",1898-05-22
"Battle of Long Tan",1966-08-18
"United States presidential election in New Mexico, 1976",1976-11-02
"Battle of Ist",1944-02-29
"Naval battle off Halifax",1782-05-29
"Battle of Harlem Heights",1776-09-16
"Italian Senate election in Lombardy, 2008",2008-04-13
"Minnesota House of Representatives election, 1990",1990-11-06
"Battle of Gainesville",1864-08-17
"Greek legislative election, September 2015",2015-09-20
"35th Moscow International Film Festival",2013-06-29
"Battle of Silao",1860-08-10
"Idaho gubernatorial election, 1986",1986-11-04
"Battle of Mainz",1795-10-29
"Sin Piedad (2002)",2002-12-13
"Oregon legislative elections, 2014",2014-11-04
"Battle of North Anna",1864-05-26
"Los Angeles mayoral election, 1925",1925-05-05
"Battle of Moore's Creek Bridge",1776-02-27
"Austrian legislative election, 2008",2008-09-28
"1987 Ecuador earthquakes",1987-03-06
"1934 FA Charity Shield",1934-11-28
"1999 Chamoli earthquake",1999-03-28
"Battle of Ushant (1778)",1778-07-27
"Algerian legislative election, 1997",1997-06-05
"1927 All-Ireland Senior Hurling Championship Final",1927-09-04
"Soccer Bowl '77",1977-08-28
"Siege of Toul",1870-09-23
"Guinea-Bissau War of Independence",1963-01-23
"Triplemanía XI",2003-06-15
"Battle of Montereau",1814-02-18
"Warrenpoint ambush",1979-08-27
"Colorado State Fair",1872-10-09
"Battle of Mutina",-0043-04-21
"Battle of Racibórz",1241-03-20
"Third Battle of Puebla",1867-04-02
"15th Yokohama Film Festival",1994-02-13
"Battle of al-Qusayr (2012)",2012-04-20
"United Kingdom general election, 2005",2005-05-05
"Battle of Marston Moor",1644-07-02
"Colchester Borough Council election, 2014",2014-05-22
"2009 Talaud Islands earthquake",2009-02-11
"Idaho gubernatorial election, 2014",2014-11-04
"Operation Pierce Arrow",1964-08-05
"Operation Crescent Wind",2001-10-07
"Asian and Pacific theatre of World War I",1914-08-03
"United States presidential election in Idaho, 1980",1980-11-04
"Cumbria County Council election, 2013",2013-05-02
"Operation Dragon Strike",2010-09-15
"New York gubernatorial election, 1777",1777-07-09
"Siege of Marienburg (1410)",1410-09-19
"First Ostend Raid",1918-04-24
"JS Kabylie 1 - 2 USM Alger match 2014",2014-08-23
"United States Senate election in Iowa, 2008",2008-11-04
"1971 Ugandan coup d'état",1971-01-25
"Battle of St. Quentin (1871)",1871-01-19
"New Jersey gubernatorial election, 1898",1898-11-08
"Cork County Council election, 1999",1999-06-10
"Patna Sahib Mahotsav",2014-05-31
"Battle of Amoaful",1874-01-31
"Siege of Oldenzaal (1597)",1597-10-23
"Battle of Darayya (November 2012–March 2013)",2012-11-15
"Battle of Kisaki",1916-09-11
"Texas gubernatorial election, 1853",1853-08-01
"Invasion of Île Bonaparte",1810-07-09
"Battle of Slim River",1942-01-08
"UFC Fight Night: Machida vs. Romero",2015-06-27
"Battle of Odelltown",1838-11-09
"Second Ivorian Civil War",2010-11-28
"Battle of Koronowo",1410-10-10
"Lombard regional election, 2013",2013-02-24
"Montenegrin–Ottoman War (1876–78)",1878-02-19
"Battle of Lyndanisse",1219-06-15
"1985 All-Ireland Senior Ladies' Football Championship Final",1985-09-08
"Missouri gubernatorial election, 1864",1864-11-08
"Camden London Borough Council election, 2010",2010-05-06
"Sukhumi massacre",1993-09-27
"Battle of Mohi",1241-04-11
"United States Senate election in Florida, 2004",2004-11-02
"UFC 19",1999-03-05
"Genesis (2009)",2009-01-11
"Second Barbary War",1815-06-19
"Walthamstow by-election, 1897",1897-02-03
"Battle of Odessa (1914)",1914-10-29
"Battle of New Bern",1862-03-14
"Battle of Durazzo (1918)",1918-10-02
"French National Convention election, 1792",1792-09-06
"Battle of the Visayas",1945-07-30
"Battle of Phoenix Peak",1947-12-07
"French presidential election, 1958",1958-12-21
"Battle of Blair's Landing",1864-04-12
"2011 Tōhoku earthquake and tsunami",2011-03-11
"Arizona gubernatorial election, 1918",1918-11-04
"New South Wales state election, 1920",1920-03-20
"Battle of Lonoy",1901-03-05
"Operation Sharp and Smooth",2006-08-01
"Tasmanian state election, 1956",1956-10-13
"Extreme Rules (2011)",2011-05-01
"Chilean presidential election, 1999–2000",2000-01-16
"United States Senate election in Oregon, 1992",1992-11-03
"Spanish general election, 1933",1933-11-19
"Tennessee gubernatorial election, 2018",2018-11-06
"1957 European Cup Final",1957-05-30
"Republican Party presidential primaries, 1964",1964-06-02
"Battle of Petitcodiac",1755-09-04
"2000 Scottish Cup Final",2000-05-27
"Battle of Winterthur (1799)",1799-05-27
"1996 Football League First Division play-off Final",1996-05-27
"Siege of Sevastopol (1854–55)",1854-10-17
"London local elections, 2018",2018-05-03
"Castile and León parliamentary election, 1995",1995-05-28
"World Series of Fighting 8: Gaethje vs. Patishnock",2014-01-18
"Bellator MMA in 2016  Bellator 155: Carvalho vs. Manhoef  1",2016-05-20
"West Bengal Legislative Assembly election, 1962",1962-05-08
"Kosovo Offensive (1915)",1915-11-10
"2001 Intercontinental Cup",2001-11-27
"Paris municipal election, 2014",2014-03-30
"2015 Johan Cruijff Schaal",2015-08-02
"Norwegian parliamentary election, 2001",2001-09-10
"Offaly County Council election, 2004",2004-06-11
"Quebec general election, 1981",1981-04-13
"Battle of Tetovo",2001-08-13
"Mamasapano clash",2015-01-25
"Alaska gubernatorial election, 1958",1958-11-25
"1983 Israel Super Cup",1983-06-14
"Alberta general election, 1913",1913-03-25
"2014 Iran earthquake",2014-10-15
"Turkish invasion of Cyprus",1974-08-18
"Minnesota State Auditor election, 2010",2010-11-02
"Battle of Navarino",1827-10-20
"2013 Toyota Premier Cup",2013-02-16
"Operation Northern Iraq",1992-11-01
"1986 Cannes Film Festival",1986-05-08
"70th World Science Fiction Convention",2012-09-03
"Action of Elouges",1914-08-24
"1998 Football League First Division play-off Final",1998-05-25
"UFC 94",2009-01-31
"Fezzan campaign",2011-09-27
"British National Party leadership election, 2015",2015-07-08
"UltraClash",1998-09-19
"Beefsteak Raid",1864-09-14
"Battle of Ménfő",1044-07-06
"Battle of Valmaseda",1808-11-05
"Battle of Cannae",-0216-08-02
"Jamaican general election, 2002",2002-10-16
"Battle of Gurun",1941-12-16
"1909 Wabash River earthquake",1909-09-27
"United States presidential election in Oregon, 1992",1992-11-03
"Battle of al-Haffah",2012-06-13
"Siege of Saqlawiyah",2014-09-22
"Battle of Ayta ash-Shab",2006-07-12
"Philippine House of Representatives elections, 1941",1941-11-11
"Battle of Rodeo de Chacón",1831-03-28
"Lạng Sơn Campaign",1885-02-13
"Battle of Wyse Fork",1865-03-10
"European Parliament election, 1999 (Italy)",1999-06-13
"UFC 107",2009-12-12
"UFC 114",2010-05-29
"Battle of Chrysopolis",0324-09-18
"Siege of Queli",0914-09-17
"Battle of Round Mountain",1861-11-19
"Battle of Borghetto",1796-05-30
"United States presidential election in Montana, 2000",2000-11-07
"Battle of Gorni Dubnik",1877-10-24
"Nova Scotia general election, 2006",2006-06-13
"United States presidential election in Washington (state), 2016",2016-11-08
"Yugoslavian general election, 2000",2000-09-24
"United States presidential election in New Jersey, 2000",2000-11-07
"Bellator Fighting Championships: 2012 Summer Series  Bellator 72  1",2012-07-20
"Battle of Vilanova",1658-09-17
"2009 Crete earthquake",2009-07-01
"2007 Mariana Islands earthquake",2007-10-31
"18th Hollywood Film Awards",2014-11-14
"Battle of Piqua",1780-08-08
"Second Battle of Heglig",2012-04-20
"Venezuelan general election, 1978",1978-12-03
"Green Party of England and Wales leadership election, 2010",2010-09-14
"European Parliament election, 2004 (Portugal)",2004-06-13
"Operation Dragon Rouge",1964-11-27
"Wairau by-election, 1872",1872-02-19
"Battle of the Crna Bend (1917)",1917-05-05
"Operation Linda Nchi",2011-10-16
"Second Battle of Chuenpee",1841-01-07
"Canadian federal election, 1962",1962-06-18
"UFC 104",2009-10-24
"Roquebert's expedition to the Caribbean",1809-12-18
"Serb Uprising of 1848–49",1848-06-06
"Battle of the Boyne",1690-07-01
"Battle of Focșani",1789-07-21
"Operation Red Dawn",2003-12-13
"2013 Bohol earthquake",2013-10-15
"2010 Bulgarian Supercup",2010-08-11
"Battle of Burkersdorf",1762-07-21
"Riojan parliamentary election, 1999",1999-06-13
"Canadian federal election, 1867",1867-09-20
"WEC 9",2004-01-16
"EMLL 43rd Anniversary Show",1976-09-24
"Romanian general election, 1937",1937-12-20
"Louisiana gubernatorial election, 1956",1956-01-17
"Ulster Unionist Party leadership election, 2005",2005-06-24
"Operation Delaware",1968-05-17
"Battle of Spanish Fort",1865-04-08
"Texas Revolution",1835-10-02
"2004 Al Hoceima earthquake",2004-02-24
"1981 All-Ireland Senior Hurling Championship Final",1981-09-06
"1923 German football championship",1923-06-10
"Battle of Alavus",1808-08-17
"Survivor Series (2015)",2015-11-22
"West Virginia Republican caucuses and primary, 2008",2008-05-13
"1934 All-Ireland Senior Hurling Championship Final",1934-09-30
"Battle of Noordhorn",1581-09-30
"UFC 163",2013-08-03
"1988 African Cup of Nations Final",1988-03-27
"United States presidential election in Delaware, 1824",1824-12-02
"Philippine House of Representatives elections, 2007",2007-05-14
"South African general election, 1920",1920-03-10
"1976 Burundian coup d'état",1976-11-01
"Irish general election, 1989",1989-06-15
"Iraqi Kurdistan presidential election, 2009",2009-07-25
"United States presidential election, 1996",1996-11-05
"United States presidential election in Texas, 1848",1848-11-07
"2002 All-Ireland Senior Camogie Championship Final",2002-09-15
"Illinois Senate elections, 2012",2012-11-06
"Murcian parliamentary election, 1983",1983-05-08
"Battle of Bardia",1941-01-05
"South African general election, 1977",1977-11-30
"Portuguese legislative election, 2002",2002-03-17
"Battle of Tacna",1880-05-26
"Luxembourg general election, 2009",2009-06-07
"Battle of Duck Lake",1885-03-26
"Battle of Kletsk (1706)",1706-04-30
"Battle of Myriokephalon",1176-09-17
"Pride Final Conflict 2005",2005-08-28
"2013 Latakia offensive",2013-08-19
"Maidstone Borough Council election, 2014",2014-05-22
"Vengeance (2004)",2004-07-11
"Battle of Toulon (1707)",1707-08-21
"Minnesota House of Representatives election, 1974",1974-11-05
"United States Senate election in Montana, 1994",1994-11-08
"Battle of Canhe Slope",0395-12-08
"Battle of Ash Hollow",1855-09-03
"The Ultimate Fighter: China  The Ultimate Fighter China Finale: Kim vs. Hathawa  1",2014-03-01
"2011 Indian Super Cup",2011-10-18
"Battle of Mahé",1801-08-19
"Estonian War of Independence",1918-11-28
"Action of 9 February 1799 (South Africa)",1799-02-09
"Invasion of Palawan",1945-04-22
"European Parliament election, 1989 (West Germany)",1989-06-18
"Action of 2 May 1654",1654-05-02
"2007 Peru earthquake",2007-08-15
"The Secret Policeman's Ball",2012-03-04
"Indian general election, 2014 (Tripura)",2014-04-12
"Operation Solstice",1945-02-18
"1975 Scottish Cup Final",1975-05-03
"Soviet Union legislative election, 1989",1989-03-26
"May 2015 Nepal earthquake",2015-05-12
"Houthi takeover in Yemen",2014-09-21
"Battle of Membrillar",1814-03-20
"Operation Dawn 2",1983-07-22
"DC State Fair",2013-09-28
"Universal Wrestling Federation (Herb Abrams)  Beach Brawl  1",1991-06-09
"1984 Svenska Cupen Final",1984-06-20
"Battle of Blanco Canyon",1871-10-10
"Night of Champions (2012)",2012-09-16
"Europe XI v Africa XI (1997)",1997-01-29
"Incorporation of Xinjiang into the People's Republic of China",1949-10-13
"Battle of Cove Mountain",1864-05-10
"1956 Anjar earthquake",1956-07-21
"Proyeccion a Nuevas Promesas (2011)",2011-01-01
"Indonesian invasion of East Timor",1975-12-07
"Hama Governorate clashes (2011–12)",2011-09-01
"Battle of Knockdoe",1504-08-19
"1936 Soviet Cup Final",1936-08-28
"Mediterranean and Middle East theatre of World War II",1940-06-10
"Ghazni prison escape",2015-09-14
"Battle of Changsha (1939)",1939-10-13
"Battle of Chaldiran",1514-08-23
"United States House of Representatives elections, 1804",1804-04-24
"Columbus, Ohio mayoral election, 1951",1951-11-06
"Moroccan general election, 2007",2007-09-07
"Sheffield City Council election, 2016",2016-05-05
"United States presidential election in Delaware, 2008",2008-11-04
"United States House of Representatives election in Wyoming, 2016",2016-11-08
"Siege of Strasbourg",1870-09-28
"Vitebsk–Orsha Offensive",1944-06-23
"New York gubernatorial election, 2018",2018-11-06
"Ontario general election, 1911",1911-12-11
"Houma Campaign",1946-01-19
"Operation Lea",1947-11-08
"Moldovan presidential election, May–June 2009",2009-06-03
"United Kingdom local elections, 2001",2001-06-07
"Egyptian parliamentary election, 1995",1995-12-06
"Portuguese presidential election, 1996",1996-01-14
"Vengeance (2011)",2011-10-23
"1953 Lahore riots",1953-02-01
"Battle of Battle Mountain",1950-09-19
"New York City comptroller election, 2013",2013-11-05
"Tasmanian state election, 1912",1912-04-30
"Battle of Jeokjinpo",1592-05-08
"Raid on Groton",1694-07-27
"1983 Copa del Rey Final",1983-06-04
"1990 European Cup Final",1990-05-23
"Italian conquest of British Somaliland",1940-08-19
"Battle of Basing",0871-01-22
"Victorian state election, 1917",1917-11-15
"Battle of Ferrybridge",1461-03-28
"Battle of Okitanawate",1584-05-03
"Scottish Parliament election, 1999",1999-05-06
"Panamanian general election, 2014",2014-05-04
"Babil governorate election, 2013",2013-04-20
"Lithuanian parliamentary election, 1996",1996-11-10
"1977 Copa del Rey Final",1977-06-25
"Pride 1",1997-10-11
"Zeebrugge Raid",1918-04-23
"Kogi gubernatorial election, 2015",2014-11-04
"Democratic Party (HK) leadership election, 2006",2006-12-17
"First Battle of Pyramid Lake",1860-05-12
"1996 Slovenian Supercup",1996-07-31
"Battle of Moira",0637-06-24
"United Kingdom general election, 1847",1847-08-26
"Battle of Castillon",1453-07-17
"United States gubernatorial elections, 1984",1984-11-06
"New York City mayoral election, 2009",2009-11-03
"United States Senate election in Nebraska, 1972",1972-11-07
"United States Senate election in Idaho, 1990",1990-11-06
"2012 Slovenian Supercup",2012-07-08
"Hong Kong municipal election, 1952",1952-05-30
"New York Comptroller election, 2014",2014-11-04
"Battle of Alligator Bridge",1778-06-30
"United States presidential election in Washington (state), 1984",1984-11-06
"United States Senate election in Kansas, 1990",1990-11-06
"Indian general election, 2009 (Haryana)",2009-05-07
"Battle of Sungei Koemba",1965-06-12
"Battle of Karanovasa",1394-10-10
"Operation Rimau",1944-10-16
"Battle of the Îles Saint-Marcouf",1798-05-07
"Campaign of Gipuzkoa",1936-09-26
"Gošince attack",2015-04-21
"Australian federal election, 1987",1987-07-11
"Singaporean presidential election, 2005",2005-08-17
"EliteXC: Street Certified",2008-02-16
"Maryland Attorney General election, 2014",2014-11-04
"Action of 4 September 1782",1782-09-04
"2000 Football League Third Division play-off Final",2000-05-26
"Battle of Hemmingstedt",1500-02-17
"Cavan County Council election, 2004",2004-06-05
"United States presidential election in Virginia, 1940",1940-11-05
"2014 Moldovan Super Cup",2014-06-27
"1956 Copa del Generalísimo Final",1956-06-24
"Siege of Baghdad (1157)",1157-07-03
"Operation Arsenal",1943-03-26
"Montana gubernatorial election, 1936",1936-11-03
"Battles of Batangas",1896-10-23
"Attack on Convoy BN 7",1940-10-21
"Ecuadorian general election, 2009",2009-04-26
"2010 Tsentoroy attack",2010-08-29
"First Battle of Monte Grappa",1917-11-26
"Venezuelan parliamentary election, 2010",2010-09-26
"United States presidential election in Maryland, 2016",2016-11-08
"Rock Bottom: In Your House",1998-12-13
"Encirclement Campaign against Hunan–Jiangxi Soviet",1930-01-29
"Caesar's Civil War",1949-01-10
"2005 Scottish League Cup Final",2005-03-20
"1983 All-Ireland Senior Football Championship Final",1983-09-18
"2011 Toronto International Film Festival",2011-09-08
"Battle of Djebok",2013-03-17
"Bellator Fighting Championships: Season Five  Bellator 54  1",2011-10-15
"United States Senate election in North Dakota, 1986",1986-11-04
"1972 Nicaragua earthquake",1972-12-23
"Mexican general election, 1982",1982-07-04
"Maysan governorate election, 2009",2009-01-31
"UFC 196",2016-03-05
"Egyptian parliamentary election, 1929",1929-12-21
"1997 All-Ireland Senior Ladies' Football Championship Final",1997-10-12
"Illinois gubernatorial election, 1998",1998-11-03
"Battle on the Ice",1242-04-05
"1994 Cannes Film Festival",1994-05-12
"Boko Haram insurgency",2009-07-26
"Battle of Monte de las Cruces",1810-10-30
"Operation Maine Crag",1969-05-02
"Paço do Lumiar mayoral election, 1992",1990-10-03
"A Matter of Respect",1998-05-16
"Swedish general election, 1982",1982-09-19
"Raid on Lorient",1746-09-20
"2005 FIFA Confederations Cup Final",2005-06-29
"Battle of Malatitze",1708-09-10
"United Kingdom general election, 1835 (Ireland)",1835-02-06
"Vermont gubernatorial election, 1870",1870-09-06
"Battle of Gloucester Point (1861)",1861-05-07
"Washington House of Representatives election, 2008",2008-11-04
"1970 Ancash earthquake",1970-05-31
"UFC 80",2008-01-19
"Action of 17 August 1712",1712-08-17
"Battle of Ambon",1942-02-03
"Battle of Dranesville",1861-12-20
"Prison Fatal (2013)",2013-03-17
"1854 Tōkai earthquake",1854-12-23
"Newcastle City Council election, 2018",2018-05-10
"Mauritanian presidential election, 2014",2014-06-21
"Hardcore Heaven",2000-05-14
"Battle of Al Mansurah",1250-02-11
"Turkish local elections, 1999",1999-04-18
"Jewels 1st Ring",2008-11-16
"Honolulu Courthouse riot",1874-02-12
"Italian centre-left primary election, 2012",0002-11-25
"Battle of Molodi",1572-08-03
"Ceylonese State Council election, 1931",1931-06-20
"United States presidential election in Virginia, 1992",1992-11-03
"New Jersey gubernatorial election, 1904",1904-11-08
"Battle of Lansdowne",1643-07-05
"Battle of Adrianople (324)",0324-07-03
"1999 UEFA Cup Final",1999-05-12
"CMLL 71st Anniversary Show",2004-09-17
"2014–15 European Rugby Champions–Challenge Cup play-offs",2014-05-24
"2005 Algerian Cup Final",2009-05-21
"Battle of Rügen (1715)",1715-08-08
"1957 Andreanof Islands earthquake",1957-03-09
"Estonian parliamentary election, 1995",1995-03-05
"Battle of White Oak Road",1865-03-31
"1919 Copa del Rey Final",1919-05-18
"Tuareg rebellion (2012)",2012-04-06
"Louisiana gubernatorial election, 1849",1849-11-05
"Operation Basalt",1942-10-04
"Battle of Bannockburn",1314-06-24
"1970 FA Charity Shield",1970-08-08
"Royal Rumble (2001)",2001-01-21
"Irish general election, 2011",2011-02-25
"2010 A-League Grand Final",2010-03-20
"Austrian presidential election, 1965",1965-05-23
"Chikara Tomorrow Never Dies",2014-12-06
"Battle of Aquia Creek",1861-06-01
"Najaf governorate election, 2009",2009-01-31
"Caravana de Campeones (2012)",2012-08-12
"Abkhazian presidential election, 2009",2009-12-12
"Battle of Pälkäne",1713-10-17
"Wyoming gubernatorial election, 2010",2010-11-02
"Minneapolis mayoral election, 2009",2009-11-03
"Siege of Sloviansk",2014-07-05
"UFC 111",2010-03-27
"Battle of Breadfield",1479-10-13
"Cactus Ridge",1945-04-04
"New South Wales state election, 1995",1995-03-25
"Hamburg state election, 2004",2004-02-29
"United States House of Representatives elections, 1886",1886-11-02
"Nauruan parliamentary election, 2008",2008-04-26
"Operation Kingfisher",1967-10-31
"1998 All-Ireland Under-21 Hurling Championship Final",1998-09-20
"2014 Slovak Cup Final",2014-05-01
"World Series of Fighting 17: Shields vs. Foster",2015-01-17
"Siege of Antwerp (1914)",1914-10-10
"Battle of Martinique (1667)",1667-07-07
"UFC 183",2015-01-31
"Fife Council election, 2007",2007-05-03
"Engagements on Lake Ontario",1812-06-18
"2014 Quneitra offensive",2014-09-23
"Battle of Reichenberg",1757-04-21
"United States Senate election in Mississippi, 1978",1978-11-05
"1998 Intercontinental Cup",1998-12-01
"Texas gubernatorial election, 1994",1994-11-08
"Somerset County Council election, 2013",2013-05-02
"Operation Kheibar",1984-03-19
"Siege of Galle (1640)",1640-03-13
"First Battle of the Aisne",1914-09-28
"1st Moscow International Film Festival",1959-08-17
"Battle of Brier Creek",1779-03-03
"Mauritian general election, 1983",1983-07-21
"1972 European Cup Winners' Cup Final",1972-05-24
"Castile and León parliamentary election, 1983",1983-05-08
"1985 Scottish League Cup Final",1985-10-27
"UEFA Euro 1980 Final",1980-06-22
"Battle of Dong Dang (1979)",1979-02-23
"Operation Infatuate",1944-11-08
"Fourth Battle of Tucson",1784-03-21
"Battle of Sabha",2011-09-22
"Shamrock Rovers XI v Brazil",1973-07-03
"Battle of Abu Klea",1885-01-17
"1895 All-Ireland Senior Hurling Championship Final",1896-03-15
"1982 European Cup Final",1982-05-26
"Battle of Bronkhorstspruit",1880-12-20
"2005 Lake Tanganyika earthquake",2005-12-05
"El Protector (2015)",2015-02-15
"United States Senate election in Oklahoma, 2014",2014-11-04
"Guinea-Bissau presidential election, 2009",2009-07-26
"Operation Montana Mauler",1969-04-03
"Battle of the Java Sea",1942-02-27
"United States presidential election in Ohio, 1968",1968-11-05
"Survivor Series (2012)",2012-11-18
"Battle of Zava",1342-07-18
"United States House of Representatives election in Alaska, 1998",1998-11-03
"Battle of Beler",1845-11-27
"WEC 52",2010-11-11
"Battle of Cádiz (1640)",1640-07-21
"Akashat ambush",2013-03-04
"Battle of Buffalo",1813-12-30
"Battle of Detern",1426-09-27
"1993 Intercontinental Cup",1993-12-12
"United States Senate election in Maine, 1978",1978-11-07
"UFC Fight Night: Hunt vs. Mir",2016-03-20
"UFC Fight Night: Munoz vs. Mousasi",2014-05-31
"1964 Intercontinental Cup",1964-09-26
"Polotsk Offensive",1944-06-29
"Operation Bulldog Mammoth",2003-12-04
"Motor City Pride",2014-06-08
"Algerian legislative election, 1987",1987-02-26
"Old Zürich War",1440-11-02
"Battle of Kumanovo",1912-10-24
"1996 Algerian Cup Final",1996-07-05
"Operation Panther's Claw",2009-06-19
"1983 Cup of the Soviet Army Final",1983-06-01
"Minnesota Senate election, 1996",1996-11-05
"Battle of Montes Claros",1665-06-17
"United States House of Representatives election in the United States Virgin Islands, 2014",2014-11-04
"1940 Bulgarian Cup Final",1940-10-13
"Glory 6: Istanbul",2013-04-06
"United States Senate election in Iowa, 2002",2002-11-05
"Tunisian Constituent Assembly election, 2011",2011-10-23
"Hungarian parliamentary election, 2006",2006-04-23
"1995 Colima–Jalisco earthquake",1995-10-09
"Battle of Fontenay-le-Comte",1793-05-25
"United States House of Representatives elections in Florida, 1892",1892-11-08
"Battle of Tripolje",1402-11-21
"Newcastle City Council election, 2015",2015-05-07
"Battle of Mstislavl",1501-11-04
"Siege of Chillán",1813-08-10
"2006 Sundance Film Festival",2006-01-29
"Battle of Sainte-Foy",1760-04-28
"United States presidential election in Florida, 2012",2012-11-06
"Battle of the Holme",0902-12-13
"Battle of Boroughbridge",1322-03-16
"Madhya Pradesh Legislative Assembly election, 2013",2013-11-25
"Soviet Union legislative election, 1954",1954-03-14
"Battle of Tayacoba",1898-06-30
"2013 Supercoppa Italiana",2013-08-18
"Battle of Tarapacá",1879-11-27
"Fao Landing",1914-11-08
"Toyota War",1986-12-16
"Battle of Bornos (1811)",1811-11-05
"Battle of Katia",1916-04-23
"Battle of Allenstein",1807-02-03
"Norfolk County Council election, 2009",2009-06-04
"Battle of Taejon",1950-07-21
"United States Senate election in Montana, 1930",1930-11-04
"Louisiana Republican caucuses and primary, 2008",2008-02-09
"Slovenian parliamentary election, 2011",2011-12-04
"United States Senate election in Indiana, 2010",2010-11-02
"Florida gubernatorial election, 1994",1994-11-08
"37th Venice International Film Festival",1980-09-08
"Battle of Schwaderloh",1499-04-11
"United States presidential election in New Mexico, 2008",2008-11-04
"Operation Purple Martin",1969-05-08
"Battle of Tarragona (August 1641)",1641-08-25
"United States presidential election in Missouri, 1988",1988-11-08
"Battle of Vaasa",1808-06-26
"UFC on Fuel TV: Silva vs. Stann",2013-03-03
"Battle of Weissenstein",1604-09-25
"Brazilian presidential election, 1969",1969-10-25
"Battle of Hong Kong",1941-12-25
"United States House of Representatives elections in Ohio, 2006",2006-11-07
"Zambian presidential election, 2008",2008-10-30
"Arizona Republican primary, 2008",2008-02-05
"Battle of Elbistan",1277-04-15
"2016 All-Ireland Under-21 Hurling Championship Final",2016-09-10
"Siege of Kawagoe Castle",1546-05-19
"Battle of Tawergha",2011-08-13
"Pride 17",2001-11-03
"Extreme Rules (2013)",2013-05-19
"South Korean local elections, 2014",2014-06-04
"Attack on Convoy AN 14",1941-01-31
"UFC Fight Night: Jacaré vs. Mousasi",2014-09-05
"Illinois's 2nd congressional district special election, 2013",2013-04-09
"WrestleMania V",1989-04-02
"Battle of the Argeș",1916-12-03
"South African general election, 1994",1994-04-27
"West Bengal Legislative Assembly election, 2011",2011-04-18
"Battle of the Twin Tunnels",1951-02-01
"Operation Provide Comfort",1996-12-31
"Battle of Hoover's Gap",1863-06-24
"Battle of Peshawar (1758)",1758-05-08
"South Carolina gubernatorial election, 2002",2002-11-05
"Strikeforce: Tank vs. Buentello",2006-10-07
"1964 European Cup Final",1964-05-27
"First Battle of Noirmoutier",1793-10-12
"Battle of Stone Houses",1837-11-10
"Battle of Chios (1319)",1319-07-23
"Florida gubernatorial election, 2002",2002-11-05
"Clontibret invasion",1986-08-07
"United States presidential election in Virginia, 1980",1980-11-04
"Battle of Haktang-ni",1951-10-13
"Kent County Council election, 2013",2013-05-02
"Operation Doppelkopf",1944-08-16
"1946 Cannes Film Festival",1946-10-05
"1990 Full Members Cup Final",1990-03-25
"United States Senate election in North Carolina, 1960",1960-11-08
"2010 UEFA Women's Champions League Final",2010-05-20
"2002 FA Cup Final",2002-05-04
"2011 Taça de Portugal Final",2011-05-22
"Macedonian presidential election, 2009",2009-04-05
"Newfoundland and Labrador general election, 2011",2011-10-11
"Belfast City Council election, 2014",2014-05-22
"United States gubernatorial elections, 1996",1996-11-04
"Battle of Phu Lam Tao",1885-03-23
"Swedish general election, 1960",1960-09-18
"United States Senate election in Maine, 1996",1996-11-05
"Bangladesh Rifles revolt",2009-03-02
"2011 Suruga Bank Championship",2011-08-03
"Battle of Dogger Bank (1781)",1781-08-05
"Siege of Oudenaarde",1452-04-24
"United States Senate election in Tennessee, 2000",2000-11-07
"United States presidential election in North Carolina, 1968",1968-11-05
"Battle of West Henan–North Hubei",1945-05-11
"Hamilton, Ontario, municipal election, 1950",1950-12-06
"Philippine Senate election, 1947",1947-11-11
"First Battle of Grodno (1920)",1920-07-20
"Defence of the Reich",1939-09-04
"United States Senate special election in Vermont, 1931",1931-03-31
"Battle of Perast",1654-05-15
"1973 OFC Nations Cup Final",1973-02-24
"United States gubernatorial elections, 1985",1985-11-05
"Operation Forty Stars",1988-06-18
"First Battle of the Marne",1914-09-12
"Maltese general election, 1854",1854-11-11
"North Ayrshire Council election, 1995",1995-04-06
"Australian federal election, 2001",2001-11-10
"Yokozuna Memorial Show",2001-11-29
"First Taiwan Strait Crisis",1954-09-03
"Bellator Fighting Championships: Season Five  Bellator 55  1",2011-10-22
"United States presidential election in Wyoming, 1992",1992-11-03
"Australian federal election, 1914",1914-09-05
"1985 European Cup Final",1985-05-29
"Triplemanía IV-A",1996-05-11
"Operation Lorraine",1952-11-08
"United States Senate elections, 2016",2016-11-08
"UFC Fight Night 6",2006-08-17
"Festival de las Máscaras (2011)",2012-07-03
"19th Kolkata International Film Festival",2013-11-17
"North Dakota gubernatorial election, 1996",1996-11-05
"1933 Sanriku earthquake",1933-03-03
"Battle of Murino",1880-01-08
"2015 Russian Cup Final",2015-05-21
"Scottish National Party leadership election, 2004",2004-09-03
"1763 Komárom earthquake",1763-06-28
